SourceNomenCode,DestNomenCode,ReporterISO3,TradeFlow,ProductCode,TradeValue,Quantity,QuantityToken,NetWeight,PartnerISO3,Year
H0,GP,CHE,2,31,583.985,102841,8,102841,NGA,1988
H0,GP,CHE,2,40,3687.351,86630,8,86630,HUN,1988
H0,GP,CHE,2,36,2.162,74,8,74,CUB,1988
H0,GP,CHE,2,1,1.585,281,8,281,AUT,1988
H0,GP,CHE,2,44,0.82,19,8,19,JPN,1988
H0,GP,JPN,2,40,46.762,0,-1,,MLI,1988
H0,GP,JPN,2,40,78.609,0,-1,,MDV,1988
H0,GP,JPN,2,33,432.681,0,-1,,NPL,1988
H0,GP,JPN,2,37,633.69,0,-1,,SWE,1988
H0,GP,JPN,2,33,12724.176,0,-1,,KOR,1988
H0,GP,JPN,2,42,20.513,3784608,5,,COG,1988
H0,GP,JPN,2,42,79.662,3684,5,,CSK,1988
H0,GP,ISL,2,42,61.024,0,-1,,WLD,1988
H0,GP,ISL,2,31,1.585,289,8,289,AUS,1988
H0,GP,ISL,2,26,0.537,406,7,406,SWE,1988
H0,GP,KOR,2,42,656.605,0,-1,,SGP,1988
H0,GP,KOR,2,25,767.719,732881,7,732881,JPN,1988
H0,GP,KOR,2,40,13.199,957,8,957,TMP,1988
H0,GP,KOR,2,38,147.38,18812,8,18812,ETF,1988
H0,GP,KOR,2,27,2905.214,323675,8,323675,SLV,1988
H0,GP,KOR,2,42,263.375,42492,8,42492,ECU,1988
H0,GP,KOR,2,29,221.666,30459,8,30459,MMR,1988
H0,GP,KOR,2,33,808.151,152403,8,152403,PRY,1988
H0,GP,KOR,2,8,2414.469,603696,8,603696,LBY,1988
H0,GP,KOR,2,31,7679.944,2827246,8,2827246,FRA,1988
H0,GP,KOR,2,40,694033.988,7.06E+07,8,7.06E+07,DDR,1988
H0,GP,KOR,2,8,203.478,19920,8,19920,CAN,1988
H0,GP,GRC,2,18,129.122,5426000,8,5426000,DZA,1988
H0,GP,GRC,2,40,34.668,638,8,638,BHS,1988
H0,GP,GRC,2,26,0.709,503,7,503,BGD,1988
H0,GP,GRC,2,23,228.576,821875,8,821875,BLX,1988
H0,GP,GRC,2,28,4.699,117,8,117,CMR,1988
H0,GP,GRC,2,31,2.332,367,8,367,GLP,1988
H0,GP,GRC,2,40,2.522,78,8,78,HND,1988
H0,GP,GRC,2,18,10710.977,1.20E+08,8,1.20E+08,ITA,1988
H0,GP,GRC,2,38,5.711,30,8,30,OAS,1988
H0,GP,GRC,2,28,28.567,815,8,815,ANT,1988
H0,GP,GRC,2,21,15.243,16440,8,16440,PAN,1988
H0,GP,GRC,2,26,7.405,7028,7,6937,VCT,1988
